ticker,regularMarketChange,netExpenseRatio,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,fiftyTwoWeekChangePercent,fiftyTwoWeekLow,regularMarketPrice,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh,performanceRatingOverall,trailing3mReturn,annualReturnNavY1,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall
0P0001AAMP.TO,1.1794014,0.0,0P0001AAMP.TO,30.409174,68424856.0,0.0,2.923638,97.08921,21.0664,41.5196,TOR,ca,38.315495,43.51,,,,,,,
0P0000SC5I.TO,0.78629875,0.0,0P0000SC5I.TO,20.296726,68424856.0,0.0,2.9229023,96.72173,14.0745,27.6876,TOR,ca,25.557571,29.019,,,,,,,
0P0000ULFC.TO,0.65740013,0.0,CI Gold Corporate Class E,17.047487,68424856.0,0.0,2.9203248,94.862785,11.8897,23.1686,TOR,ca,21.40369,24.2999,0.0,30.05714,29.68208,84.53591,1.00101,39.60875,0.0
0P0000SC5H.TO,0.66540146,0.0,CI Gold Corporate Class A,17.267988,68424856.0,0.0,2.9200413,94.51282,12.0572,23.4528,TOR,ca,21.669962,24.6013,0.0,29.99681,29.46198,84.24477,0.83005,39.4422,0.0
0P000075X0.TO,4.043991,0.0,Ninepoint Gold and Precious Minrls Ser F,105.80294,239952073.0,0.0,2.7920208,120.13228,67.63428,148.885,TOR,ca,140.93356,163.11287,,,,,,,
0P0001HHLA.TO,1.0335999,0.0,Ninepoint Gold and Precious Minrls Ser D,27.396086,239952073.0,0.0,2.7916193,120.08014,17.29312,38.0587,TOR,ca,36.027737,41.69741,2.0,8.10629,-18.85823,28.43854,53.04704,-11.14209,3.0
0P00007224.TO,3.3180008,0.0,Ninepoint Gold and Precious Minrls Ser A,88.39183,239952073.0,0.0,2.7883062,117.67516,56.19164,122.315,TOR,ca,115.90946,134.12006,2.0,31.81027,28.19438,111.04802,-18.85823,53.04704,3.0
0P0000KODJ.TO,2.550499,0.0,Dynamic Precious Metals Series I,70.25668,1188917000.0,0.0,2.6922798,125.590965,43.1242,97.2843,TOR,ca,91.48861,105.9367,5.0,34.7306,37.9892,110.31672,-14.73407,58.14645,4.0
0P000086C5.TO,1.8735046,0.0,0P000086C5.TO,51.85001,1188917000.0,0.0,2.6890006,122.86377,32.1032,71.5464,TOR,ca,67.3636,77.9825,,,,,,,
0P0000S8PV.TO,0.89780045,0.0,Dynamic Precious Metals Series G,25.011663,1188917000.0,0.0,2.685565,120.11876,15.5954,34.3284,TOR,ca,32.363197,37.4547,4.0,33.88628,34.57506,105.87246,-16.77157,54.13767,4.0
0P0000703A.TO,0.8756981,0.0,Dynamique métaux précieux,24.417517,1188917000.0,0.0,2.6849387,119.69314,15.2444,33.4909,TOR,ca,31.579336,36.546,4.0,33.82407,34.33421,105.52905,-16.89118,53.96421,4.0
0P0000K7GF.TO,0.5396004,0.0,Middlefield Canadian Div Growers Cl F,17.907024,49322643.0,0.0,2.6061356,32.676758,14.5258,21.2446,TOR,ca,21.28161,23.4295,,,,,,,
0P0000716J.TO,0.4545002,0.0,Middlefield Canadian Growth Class,15.164535,49322643.0,0.0,2.6029747,31.227434,12.331,17.9153,TOR,ca,17.964909,19.779,3.0,11.96481,22.458,26.07076,-1.18613,-9.39781,4.0
0P0001KEP8.F,2.4300003,0.0,Amundi Fds European Eq Value R EUR C,91.1479,0.0,0.0,2.5041223,21.260511,75.64,99.47,TOR,ca,95.3688,99.47,,3.13,,17.22,,,
0P0001XML2.TO,0.29889965,0.0,Lysander-Triasima Canadian Sm Cp Eq F,12.0477085,1329736.0,0.0,2.4887357,5.525315,11.5624,12.309,TOR,ca,12.0477085,12.5569,,,,,,,
0P0001XML1.TO,0.29730034,0.0,Lysander-Triasima Canadian Sm Cp Eq A,12.005003,1329736.0,0.0,2.4861422,5.3583503,11.5297,12.2556,TOR,ca,12.005003,12.5133,,,,,,,
0P0000NDID.TO,1.4431992,0.0,Dynamic Strategic Gold Class Series I,43.82307,0.0,0.0,2.4821675,104.33702,29.1606,59.5859,TOR,ca,55.499725,63.3083,0.0,2.73114,-5.72268,13.36182,40.68827,3.0115,0.0
0P0000KWPU.TO,1.2609024,0.0,0P0000KWPU.TO,38.49254,0.0,0.0,2.479061,102.29685,25.7656,52.123,TOR,ca,48.601948,55.4283,,,,,,,
0P0000S8PX.TO,1.104599,0.0,Dynamic Strategic Gold Class Series G,33.912018,0.0,0.0,2.4761019,100.05601,22.8511,45.715,TOR,ca,42.67055,48.6504,0.0,32.0823,36.94246,89.41608,-5.70074,40.74503,0.0
0P0000KWJI.TO,1.0964012,0.0,Dynamic Strategic Gold Class Series A,33.66693,0.0,0.0,2.4759915,100.030426,22.6854,45.3777,TOR,ca,42.357647,48.2953,0.0,32.06944,36.9224,89.33646,-5.72268,40.68827,0.0
0P0000ZIP4.TO,1.0599976,0.0,Fonds Optimum Actions Canada I,43.3089,0.0,0.0,2.4373362,5.368972,38.52,44.55,TOR,ca,44.3544,45.47,2.0,-2.30838,19.53436,3.53919,-7.95961,11.64225,2.0
0P00000PGQ.F,0.25940037,0.0,Laboral Kutxa Bolsas Eurpeas ESTANDAR FI,10.525144,68337451.0,0.0,2.4119723,12.050283,9.06627,11.0141,TOR,ca,10.74828,11.01414,2.0,3.76637,4.89047,10.6877,-17.36372,0.11157,2.0
